icd10_code,text
E,especificados mellitus tipos retinopatia ambos proliferativa diabetica diabetes
F,subcortical degenerativa inicio hipertensivo arterosclerotica cerebral cerebrovascular arteriosclerotica post
O,vesical
R,obedece ordenes 25 años edad movimientos normales espontaneos ii años edad puntuacion 6 escala coma motora
F,compulsivo alterado compulsiva
F,insociable lesion agresivo
J,estenosado calcificacion bronquial bronquial broncolitiasis
O,2o infeccion urinario tracto
K,tejidos especificadas dientes enfermedades duros otras
J,sincitial agudo virus respiratorio
H,l exoftalmos cronico
S,fractura extremo inferior izquierda tibial
I,cerebral angiopatia amiloide
I,intermitente sistemica arteriosclerotica dcha
G,intercostal
K,pancreatica inflamacion calculos biliares
A,neom gonococo gonococica
Q,blandos pie musculoesqueletico congenita subcutaneo
A,peste
J,asma persistente grave
T,contacto antiasmaticos
S,ungueal pulgar cuerpo izquierdo daños
V,inicial accidente transporte camioneta contacto lesionado ocupante
O,otra trimestre amniotica
F,depresiva
I,intradural
K,completa a traumatismo dientes ausencia clase
G,ondine apnea apneico
K,contractura estrechez
G,paralitico extremidad superior derecha
R,nihss 10
L,linfatico linfatico inflamado linfangitis antebrazo aguda derecha
N,prepucio masa prolapso
F,opioide consumo intoxicacion
A,bartonelosis
Z,trimestre primer
J,traqueostomia sepsis
Q,salida doble izquierdo ventriculo
N,damage propiamente
E,mucopolisacaridosis scheie
K,hemorragias trastorno peridiverticulitis sanguineo
T,izquierda contacto inicial primero pierna
I,arteria miocardio iamcest coronaria imest elevacion st stemi coronaria infarto arterial enfermedad obstruccion diagonal stemi agudo
G,mixto motoneurona espinal
K,ileo paralitico inducido ileo compresion paralisis intestinal
O,afecciones l00l99
F,restrictiva evitativo
P,inflamacion inflamacion canaliculitis inflamatorio
C,oido celulas merkel externa auditivo carcinoma derecho conducto
T,envenenamiento efecto adverso infradosificacion tiobarbituricos
S,i sacro tipo
Z,aparto congenitas tratado circulatorio personales antecedentes corregidas cardiacas malformaciones aparto
R,nocturia
N,mucoso
A,venereo
H,cronico ambos simple glaucoma
L,infantil miliaria cristalina miliaria crystallina cristalina alba
O,complicaciones gestacion otras primer
M,secuela osteoporosis involutiva fractura patologica actual osteoporosis dcho
P,transmitidos toxinas colemia
H,superior izquierda externo
H,otro bajo mastoiditis concepto
N,trompa
E,enfermedades visceras mediastino hallazgo malformacion
H,ecuatorial bilateral estafiloma
J,seropurulenta pleuritis
A,rabia
B,genitourinario micobacteriana
Z,kilogramos percentil imc metro cuadrado
I,arteriosclerosis aterosclerosis injertos derivacion biologico pierna derecha ulceraciones superficie plantar parte media pies
F,inducido ansioliticos sedantes hipnoticos
K,inflamacion pancreatica aguda idiopatica
S,traumatismos hombros brazo
Q,autosomas
L,cuello celulitis abceso cuello celulitis cuello
J,s bronconeumonia
Z,congenitas
E,retiniano derecho proliferativa mellitus
A,gonococo gc cerebral cerebro
P,heces deposiciones aspecto melenico tracto
M,fascia izquierda progresiva
J,pulmonar alveolar
R,respuesta ninguna verbal mejor
Z,medica motivo paciente otro infradosificacion prescripcion
O,tromboflebitis gestacion trimestre
R,puntuacion
I,necrosis ambos
H,vesical dcha quistes
P,condicion especificadas trastorno
F,episodios mixto psicoticos rasgos bipolar sindrome
V,objeto colision contacto estacionado accidente inicial lesionado trafico fijo
O,problema iii atencion trimestre primer feto
C,mastocitos leucemia
G,inducidas otras farmacos
P,dias menos semanas 37 menos dias 259 completadas prematuridad completadas completados 28 completados semanas embarazada 196
V,ocupante camioneta lesionado inicial furgoneta vehiculo otro colision accidente
E,mellitus macular diabeticos tipo despues izquierdo
B,barba micosis tiña cuero cabelludo
H,sospecha ambliope ambos
O,periuretral
N,urinario incontinencia postural postural
I,subclavia cronicas bilateral embolismo trombos
F,cannabis cannabinoide cannabinoides
K,ulcerosa pancolitis
H,izquierda limitada dcho
N,derecho mama
A,lodo
N,disfuncion erectil masculina
U,respiratoria 1
L,a dermatitis alimentos contacto cutanea eccema alergico
H,intraorbitario osteomielitis izquierdo lado
H,pigmentaria agudo multifocal placa izquierdo
Z,afecciones clasificadas e00e88 antecedentes personales antecedentes personales afecciones clasificadas o244
H,estafiloma oi
Q,difuso cirsoide ductus
E,porfirinuria hereditaria eritropoyetica
O,segundo trimestre aspiracion anestesia neumonitis gestacion
M,trastorno cartilago
W,acrotrofodinia
C,celulas exadicto fracaso plasmocitica plasmaticas leucemia leucemia plasmaticas celulas leucemia
J,gripe a manifestaciones
K,bilateral penetrante
V,coche furgoneta ocupante contacto inicial
J,mucositis ulcerosa nasal mucositis
G,postraumatica cefalea
U,19 covid
H,ojo intersticial queratitis derecho
F,tipo atencion hiperactividad predominio lesion deficit atencion falta
S,tendon s
H,cicatricial mucosa
N,enfermedades tracto bajo clasificadas calculo concepto
M,izquierda quiste sinovial
O,habito fumar complica embarazo parto puerperio
N,otro bajo estenosado hombre bulbar concepto posinfecciosa uretra
F,abuso exadicto alucinogenos
R,hablar dificultad hablar
Q,reflujo megaureter ureterales idiopatica
Z,implante articulares
M,wrist izq gota
Z,cardiaco resucitado reanimacion
D,neoplasia incierto timo
S,traumatismos codo radio derecho
H,divergente izq concomitante estrabismo
K,esclerotico hepatica
C,maligna izq superior nervio daño
V,peaton hoverboard lesionado colision coche camioneta furgoneta accidente trafico peaton segway lesionado colision coche camioneta furgoneta accidente trafico
Q,grandes arteria
C,neoplasia parametrio maligna
U,pos afeccion
K,cualquier afeccion figure k805 colecistitis colangitis
N,estrechez
U,secuela covid 19
F,cultural niños duelo choque hospitalismo reaccion
P,piemia anaerobios sepsis anaerobios
S,trauma
K,peptico
Y,pozo
Q,urinario estenosis ureteral
L,musculo pies derecho presion necrosis parte otra cronico ulcera
M,sarcopenia sarcopenia sarcopenia
Q,polimastia axila supernumeraria axilar
R,desarrollo normal estandar altura fisiologico otros falta infancia esperado
R,paralisis
C,nervios neoplasia maligna
C,melanoepitelioma tumor superpuesto maligno superpuesto melanoma piel nevocarcinoma melanoblastoma
H,cataracta intumescencia dcha
V,impacto daño ultraligero ocupante planeador inicial
K,fagedeno
C,tejido maligno mujer pezon izquierda
E,nutricional
M,fracturas fracturas rutinarias contacto
V,accidente coche colision ocupante trafico lesionado contacto furgoneta
O,complica obesa puerperio
Y,materiales incluyendo instrumentos quirurgicos suturas dispositivos ortopedicos asociados incidentes ortopedicos
L,foliculitis pies divieso pie izquierdo
K,intestino delgado piogeno adhesiva
R,polaquiuria polaquiuria
V,tren caida inicial ferroviario contacto lesionado ocupante ferroviario
J,edad mixta bacterias
H,edematoso papila nervio picadura
F,disolventes volatiles inhalante
L,ocupacional erupcion neomicina contacto dermatosis farmacos exantema eccema yododermia yodo
G,meningitis bacteriana
G,carpiano ambas tunel
Y,operaciones cuerpo militares contacto a
Y,apartamento acontecimiento condominio actividad combinacion causa lugar externo codigo utilicese
J,no exudado
N,cola derecho
J,meticilina aureus mrsa mssa resitente sensible resistente sarm
I,claudicacion arterioesclerosis intermitente extremidades tipo s injerto otra derivacion
Q,arlequin
H,retinosquisis ambos
L,civatte poiquilodermia civatte
M,bajo regiones concepto
Q,cara cuello malformaciones oidos congenita
P,fallido alterado
I,arteria derecha estenosado cerebral estenosis posterior
A,intestinales infecciosas clostridium
T,pierna segundo parte quemadura
E,malformacion hipofisis
Q,funcion vph filarica amarillo lymphangiectasis saco neuroartritica macrotrombocitopenia guionwebs ectopicos atroficos hidropesia seudoelefantiasis hipsarritmia pestañas verruca megacariocitica milroy plaquetas virales virus growth celsr1 degenerative meige amarillas trofedema telangiectasis distiquiasislinfedema decoloracion
R,paro respiratorio
S,cuello izquierda parte
E,rasgadas merrf merrf
F,abuso percepcion
I,infarto a arteria
A,tuberculosis tuberculomas cronico cronico granulomatosa tuberculosis diseminada miliar otras
Z,contacto prenatal cribado fetal
P,contusion nervio
I,secuelas enfermedad otras cerebrovascular
F,discalculia aritmetico acalculia
G,sindromes rigidos hipocineticos l
E,disacarido congenito hereditaria
D,aldrich wiskott malformacion wiskott
O,hipertenso inducida embarazo gestacional
K,perdida enfermedades clase
N,piosalpinx trompa falopio inflamacion
M,vacunacion ureter derecho
H,localizadas opacidades ocular
J,agudo neumonitis pulmonar
U,medula pulmonar
U,infeccioso 19 viral covid fallo respiratorio hipoxemica
F,neurocognitivo demencia
I,derrame pericardio
P,especificos hipocloremia endocrinos nacido recien hipocloremia
F,necesita cocaina
N,infertilidad incompetente
Z,55 imc
S,nervios torax perifericos
S,neural manubrio
U,pulmonar relacionada cigarrillo relacionada lesion lesiones dabbing pulmonar electronico
L,forunculo cabelludo foliculitis otras localizaciones
C,linfoma ganglios intratoracicos folicular linfaticos
N,elongacion uterino hipertrofica
R,verbal confusa respuesta mejor conversacion coma urgencias
O,feto frente atencion
K,quistes
M,osteoporosis actual fractura secuela
U,vapeo trastorno relacionado
N,inflamatoria difusa
R,intrarretinianas captacion
M,depravado arcilla
B,nervioso articulacion parvovirus
I,extremidades claudicacion
U,afeccion pos covid 19
Z,reconocimientos
F,especificado inducido psicosis hipnoticos sedantes hipnoticos malformacion no sedantes ansioliticos consumo
S,izquierdo fractura desplazada trocanter mayor
H,distrofia endotelial oi
J,paresia
H,macular degeneracion no estadio edad globo ocular
U,pos covid 19 afeccion
F,otro relacionado somatomorfos medico miedo mentales estres disociativo ansiedad
S,dedos mano dcho
F,malformacion abuso inducido opioide
O,retardado tendencia
K,unilateral hernia hernia inguinoescrotal inguinal
V,contacto
P,oportunista perinatal
P,recien nacido afectado consumo
F,reciente parcial
L,presion izquierdo
U,19 afeccion covid pos
F,intoxicacion alterado
R,exudados esputo
O,pulmonar embarazo lipotimia a presion trimestre anestesia primer
M,doloroso palindromico
R,pulso latido
A,agudo miliar tuberculomas
K,hipertrofia glandula
S,epitroclea humero izquierda
H,afectacion zona bilateral central escotoma
P,parasitarias infecciosas enfermedades congenitas
G,migraña estatus intratable migrañoso
N,progresivo malformacion cambios rapidamente morfologicos glomerulonefritis
R,urinaria discapacidad incontinencia inmovilidad
K,fagedeno perforante
I,tras lado superior afectacion equimosis extremidad subaracnoideo
E,lipedema
A,piemia microorganismo purulenta
K,causada
I,varices bilateral
K,alveolar
U,pos afeccion 19
G,intratable aura persistente migrañosa estatus
L,cronico ulcerativa necrosis hueso pierna dcho
R,vascular
Q,hipertelorismo hipertelorismo
I,tras intracerebral hemiparesia lado hemorragia
P,nacido materno alucinogenos consumo afectado
H,sospecha oi
F,dependencia hipnoticos remision
N,malformacion inducida metales
H,anterior izquierda
E,farmaco renales
K,cronico colitis
M,sifilitica 6 albuminosa monomelica
O,placentario no trimestre malformacion
N,menopausia menopausicos lesion genital
P,nacido afectado umbilical nudo
M,deficiencia aporte energia
F,retardo absoluta escritura escrita ortografica escrita
D,mixta riñones benigna
P,espesa perinatal espesa
Z,contacto cribado hipercolesterolemia nutricional lipidos
L,ulcerativa presion arañazo ampollosa perdida parcial grosor piel afecta epidermis dermis codo ulcera presion vias cicatrices codo estadio 2
Z,sanguineas historia afectan hemopoyeticos inmunitario enfermedades trastornos ciertos
S,ligamento esguince femoral derecha cabeza
Z,esteroideos
F,transitorio tics malformacion
P,traumatismo fracturas clavicula nacimiento clavicula
E,oftalmicas tipo 2 mellitus
R,histologia
C,epitelial neoplasia
G,repetitivo aislada sueño perdida fuerza episodicos paroxisticos
D,benigna izquierda ciliar
I,cerebro a arterial trombos cerebro
O,materna atencion
F,marihuana especificado cannabis malformacion no inducido consumo
M,transfusion sanguinea
P,recien nacido peso nacimiento 999 g menos
M,otro osteomielitis cronico tipo derechos tobillo
G,izquierda cefalea
Q,unicorne separada unicorne funcionante separada
K,sanguineo sangrado desangrado
A,huesos articulaciones
F,hipnotica ansioliticos mal
F,consumo abstinencia bebidas alcoholicas delirio
G,verrugosa reparacion telangiectasia defectuosa louisbar defectuosa
B,adenoviridae viral faringoconjuntivitis
N,atrofico atrofia
Q,cuerpo calloso
H,superior palpelbrales anomala inervacion ojo derecho
Y,arma lesionado inicial
E,myhre
Q,aplasica perdida pene pene congenita
S,extremo rodete fracturas inferior
F,opiaceos aguda
E,neom tocoferol
L,psoriasis
M,artritis reumatoide juvenil factor reumatoide izquierdo
D,trombocitopenia hereditaria trombocitopenia congenito
P,neonatal aspiracion
P,tracto ventilador
K,diverticulo gastrico complicacion diverticulos gastrica
Z,apertura gastrostomia
C,neoplasia maligna cutaneos escroto escrotal melanoma
E,tipos ramificada cadena aciduria organica otros
U,inhalacion lesion vaporizador vapeo sustancia daño pulmonar relacionado dabbing daño vapeo pulmon
Q,sinfalangia
M,sucesivo estres pies fractura fallo izquierdo dedos
M,derecho muslo algoneurodistrofia
L,umbilical onfalitis neonatal
N,hiperplasico ein glandular
R,febriles simples simples
U,lesion pulmonar relacionada dabbing vapeo pulmon trastorno uso cigarrillos
Q,mano fusionados
N,congenita
R,enfermedad blanca sustancia
E,a afeccion diabetica ojo izquierdo
F,lesion social
J,estacional alergia enfermedades rinitis estacional rinitis alergica alergica
M,fractura cronica fractura patologica
L,roncha
I,sistolica cardiacas sistolica congestiva insuficiencia cronico
O,materna isoinmunizacion hidropesia abo materna isoinmunizacion atencion atencion fetal
A,mesencefalitis encefalitis meningomieloneuritis
I,tromboflebitis inferior profundos izquierdo
I,venosa tvp profundo trombosis
R,muestras origen esencialmente sustancias torax
I,embolo poplitea bilateral
N,displasia masculinos
S,oseo radio
A,recurrente
L,gravedad pierna derecho
P,craneo traumatismo otros
K,colagenosa infecciosa colagenosa
G,paresia tardia nervio cubital izq
F,volatiles disolventes
B,necrosante aeruginosa inflamacion pseudomonas inflamacion
L,cronico izquierdo
N,nefropatia endocapilar glomerulonefritis difuso agudo sindrome proliferativa
Q,ausencia congenito delgado congenito of intestino agenesia duodenum congenital
J,bronquitis virus agudo
M,derecho concepto bajo
U,19 covid
I,coagulo izquierda intradural
G,comienzo cerebelosa temprano
R,respuesta hospitalario ninguna motora coma mejor ingreso escala
N,ovulacion sangrado ovulacion
M,inflamatorias reumatismo derecho
U,secuela covid19
N,masa cuadrante superior derecha mama interno
S,constriccion pie externa
Y,utilicese combinacion codigo actividad guarderia lugar acontecimiento causa externa lugar acontecimiento debera registrarse solo contacto inicial tratamiento primaria
N,uropatia
I,inferior perdida derecho lado otro fuerza extremidad tras
I,ureter enfermedad valvular multiple especificada reumatica
A,virus hemorragia sabia aguda especificadas fiebres otras
R,puntuacion iv apertura ocular escala coma
F,no inhalantes psicotica inhalantes especificado consumo inducido sindrome
K,colitis gastroenteritis
M,of intermitente torticolis cuello muscle intermitente
Q,microcornea
Z,categoriast36 t50 extremas 5
M,osteocondropatias especificadas
F,trastorno neurocognitivo leve inducido bebidas alcoholicas lesion consumo
T,inestabilidad protesica izquierda
O,trimestre profundo primer
O,tercer embarazo obstetrico absceso asociado trimestre mamario
G,cabeza esfuerzo cefalea
H,dacriops bilateral dacriops
J,01 anestesia
K,duodeno angiodisplasia estomago
O,forma induccion
D,craneales sarcoidosis
Z,acogidos hijos
L,izquierda estadiable tejido
L,dedo derecho
E,albinismo tirosinasa negativos negativos
Z,medico reconocimiento contacto otro general
I,coagulo tromboembolica arteria izq
L,presion necrosis pierna
P,anormalidades hallazgos concluyentes diagnostico cribado
K,completa especificada ausencia clase no
P,hemorragico hemoptisis pulmonar
L,foliculitis mano mano derecho divieso
L,area presion estadiable izq
P,damage cabelludo ivh degeneration ependimo cerebeloso cuero anoxia
B,multilocular equinococo a echinococcus infeccion multilocularis
M,sinovial
W,contacto gato mordido inicial
A,exocervicitis tracto endocervicitis herpesvirus
S,laceracion arteria dorsal pie pierna
N,uretra
C,linfoma axila extremidad ganglios t celulas
K,rectorragia hemicolitis izquierda
E,degradacion
V,ocupante accidente fijo transporte contacto
Y,apartamento cooperativa causa acontecimiento externo lugar
O,sanguineo
P,hemolisis equimosis ictericia
M,little leaguer cuerpo organos golfista derecho
R,generales intranquilo signos sintomas bebe lactante irritable
J,oroantral nublado bucal maxila cutanea maxilar necrotico
K,calcificacion
O,afecciones s00t88 excepto t74 t76
K,enfisematosa inflamada
C,ganglios timico superior extremidad axila linfaticos mediastinico celulas grandes
P,neonatal
Z,discapacitada actividades limitado actividades limitacion
M,hombros osteocondropatia no
L,ulcerativa cronica superficie plantar mediopie derecho
M,postraumatica artrosis
U,incierta emergencia nuevas provisional terapia asignacion etiologia
R,funcionamiento sexual
V,inicial autobus contacto vehiculo transporte pesado colision
N,gn glomerulonefritis sindrome glomerulonefritis glomerulares hematuria renal hepatorrenal sindrome anormalidad
A,causada infeccion bacteriana
Q,cintilla ovarica
Z,negativos grupo sanguineo rh
Z,sospecha coronavirus sarscov2 2019 exposicion exposicion covid19 contacto
E,inducida mellitus diabeticas diabetica sustancia retinopatia
K,raiz dientes caries
M,canal osea extremidad estenosado inferiores raquideo conducto
L,musculos blando
H,medula transfusion trastorno
O,uterino
Z,fragmento incrustado retenido
R,urgencias coma llegar ojos
N,balcanes azotemica
Y,operaciones civil armas disparo
U,19 infeccioso genero covid coronavirus microorganismo
K,gastritis cronica antral gastritis cronico fundus gastrica
A,tardia sifilitica congenito coriorretinitis
K,gastrointestinal
U,nuevas incierta etiologia tratado asignacion provisional emergencia
M,fractura estres caderas fractura fatiga izquierdo
K,diente caries incisivos
H,cirugia afaquica tras
U,covid pos
Q,corcova cifotica joroba toracolumbar adquirida
S,herida punzante cuerpo extraño dedos ma lateralidad daños ungueal
U,covid
I,arteritis izquierdo senil
U,secuela covid19
O,especificados problemas
U,19 pos afeccion covid
I,coagulo intradural embolo ambos
G,chronic headache episodica cefalea episodic
R,purpurica espontanea manchas petequial puntos purpuricos petequia
T,antirreumatico analgesico antipiretico
R,otra memoria
L,mediopie osea presion
S,destruccion heridas
Z,articular rodilla explantacion cuidados protesis posteriores
F,alucinatorio alucinosis alcoholico
Q,espasmo adulto espasticidad cardias piloroespasmo espastico hipertroficos acalasia
M,inflamatorias caderas derecha
G,flacida lado a afecta hemiplejia
K,dientes traumatismo a clase 2 perdida completa
R,celulas glandulares atipicas perianal citologia ano anomala
M,no deformante
X,tierra tierra
I,bloqueadoa fascicular derecha
P,recien afectado embarazo nacido abdomen
Y,lavar ropa ropa
S,arteria pie plantar derecho
B,formas otras cromomicosis
J,traqueostomia granuloma
Z,relacion asesoramiento paciente
H,operculo oi desprendimiento retiniana
P,enfermedades a hidropesia fetal hemolitica
O,otro desprendimiento prematuro placentario trimestre
M,artritis reactiva
Q,izquierda congenito
C,t linfoma cutanea celulas
B,clonorquiasis clonorquiasis
Z,otros prescripcion contacto inicial
R,ortopnea ortopnea
N,dolorido
Q,rodilla ligamento luxacion bipartida
Q,arteria origen
I,enfermedad cronico cardiopulmonar
I,embolia trombos agudas venas profundas parte proximal extremidad inferior derecha
B,infeccion glaucoma onchocerca volvulus
J,digestivas
P,originadas respiratorias periodo cronicas enfermedades
N,izquierda mama
K,rectosigmoideo
C,oseos neoplasia articular cartilago maligna
J,aguda resfriado nasofaringitis
K,dentales poseruptivos poseruptivos color duros cambios tejidos
I,vena ambos agudas
H,regmatogeno operculo
D,liberacion grado 5 sindrome
P,sangrado
O,percreta placenta trimestre 2o
Z,anticoncepcion actual terapia largo hormonales hormonales
Y,cualquier daño sufrido consecuencia intervencion agentes ley servicio servicio momento intervencion intervencion legal corte objeto afilado
M,concepto pies izquierdo
U,covid
V,pesado camioneta coche colision vehiculo accidente
U,covid pos
F,consumo
K,poscirugia antral poscirugia sindromes
N,cervical displasia ligero
A,a enfermedades
F,aversion antojo particular
E,inconsciencia afeccion subyacente
R,hallazgo morfologia uretral anormales muestras histologico anormal hallazgo
G,afecta superior dominante izquierdo paresia a lado extremidad
S,fracturas extremo distal humeral derecha
N,hipertrofia hipoplasia secundaria
H,coriorretinianas
U,pos afeccion
H,derecho otitis media oido
L,linfatico inflamacion linfatico
L,neom expuesta izquierdo
K,perforacion
U,covid severo 19 afeccion agudo respiratoria
M,poquer bejterev
M,dedos meñique dedo gatillo
K,complicado no
R,microbiologicos vulva secreciones
B,simios
Y,contacto operaciones torpedo militar inicial explosion personal militares
F,eyaculacion precoz precoz
Z,procreativa reproductivo
B,mononucleosis infeccion
K,crohn regional diarreica enteritis intestinal enfermedad
I,cerebrovasculares dcho
B,influenzae h
S,vena seccion yugular no interna
H,epiteliopatia pigmentaria placa multifocal posterior agudo ojos
S,penetrante penetrante izquierdo contacto
D,disminucion leucocitos recuento
D,dorso no in in situ
I,injertos derivacion extremidad otra s
L,granulomas luz radiacion actinico
H,luxacion cristalino posterior ambos
R,lugar servicio coma ambulancia recogida
A,listeriosis
N,mgf ginecologico
Z,categoria afecciones utiliza maternas contacto tipo observacion sospecha administrativo fetales judicial
Z,autismo cribado autismo
N,prepucio
J,nasofaringeo nasofaringitis
S,secuela apofisis neural
B,amigdalina amigdalina amigdalina orofaringe
G,neuritis segmentaria recidivante
K,enfermedades esofagico
K,ulcerosa mucositis
M,podagra brote
M,atipica izquierda
A,meningitis tifoidea
R,agrafia
P,nociva nocivo transmitidas
N,hiperparatiroidismo secundario hiperparatiroidismo
M,brazo tendinosa derecho
P,kernicterus
U,vapeo sustancia lesion cigarrillos terapia lesiones vapeo pulmonar relacionado lesion
I,asintomaticos izquierda varicosas profundos
H,daltonismo
N,tipos anterior uretra estenosis otros
O,intento utilizacion fallido cesarea utilizacion parto forceps forceps ventosa forceps posterior
G,traumatico isquemico
J,fibrotico alveolitis alergia neumonitis inhalacion polvo particulas organicas origen fungico actinomicetal u otros
U,afeccion pos covid 19
P,intrauterinas fetal frecuencia cardiacas afectado momento inicio ritmo
I,otro cerebrovascular enfermedades malformacion bilateral paresia
C,celulas carcinoma hombro derecha incluyendo superior
L,extremidades inflamado
Q,condrodisplasia osteosclerosis combinada acondroplasia hipocondroplasia
A,adverso posanestesica administrada inhalacion neumonitis intoxicacion
B,vesicular enterovirus faringitis
N,uterino trastorno
K,obstruccion recto calculos biliar
G,idiopatica discinesia torsion
F,estimulantes estimulante
N,luteo quistes lado ovario cuerpo
C,linfoma intravascular celulas b grandes linfoma celulas b derrame primario
W,caida
Z,economicos bajos
O,relacionadas
U,coronavirus respiratoria linfocitos
T,ingesta otros opioide
O,piemia sindrome febril
J,faringitis supurativa aguda faringitis agudo faringitis infeccion aguda
A,estafilococcemia
O,interrupcion reduccion fetal
K,estenosado abdominal adherencial peritoneal hernia
U,covid afeccion pos 19
R,cardiopatia
L,estadio especificado no presion
H,aparato parpados dcha lacrimal intraorbitario
J,respiratorias a agentes externos debidas afecciones
N,mastodinia dolor mamas
I,inferiores ulcera pies parte varicosas
C,transverso adenocarcinoma
I,tipo izquierdo
E,diabetica retinopatia farmaco severa diabetes quimica izquierdo inducida mellitus
M,multiples lesiones sinovial
G,ritmo circadiano problema
M,osteoporoticas s relacionada fracturas inicial contacto
K,colitis ulcerosa no
H,marginal derecho ojo escleritis
C,mamaria femenina pezon maligna izquierda
F,ansiedad sindrome infancia separacion
F,abusivo inducido psicosis
K,diafragmatica huesecillos esofagica granulocitopenia
N,otros nefropatia biologicas inducida
Z,fragmentos organicos otros
E,lipedema ambos
Q,masculina resultados estructura
O,afecciones listadas feto razon hospitalizacion u otra atencion obstetrica madre interrupcion gestacion
P,otros transitorios trastornos coagulacion
F,otro trastorno tipo
P,neonatal leche ictericia materna materna
U,covid 19
I,tras extremidad afectacion lado infarto superior derecho cerebro
L,areata otros alopecia tipos
V,ocupante buggy dunas lesionado accidente contacto inicial
F,inducido alcohol alcohol
J,unilateral izquierda arterial funcional hipertransparente pulmonar enfisema pulmonar hipoplasico izquierda
G,sistema bulbar nervioso espinal
J,neumonica neumonia secreciones regurgitado aspiracion gastricas neumonia vomito aspiracion alimento vomito aspiracion
K,periodontal
M,otras izquierda tardio secuela patologica
R,arterial inespecifica medida presion
V,traccion vehiculo
M,radiculopatia region disco cervical cervical sindrome
O,iiia perineo
F,exadicto etilico
Z,muñon derecho
J,perialveolar beriliosis berilio
N,uretra postraumatica
J,neumonia mycoplasma mycoplasma
S,otros vasos cuello traumatismo a nivel sanguineos especificados
E,trastornos peroxisomas grupo 1
H,aural bilateral
L,necrolisis epidermica
Q,accesorio pies hallux
H,neurotrofica ojo queratoconjuntivitis
Z,ojo derecho ajuste
L,cutaneo ulcera
K,congenita iv
N,vaginal anormal otro sangrado especificado
E,carencia carnitina hemodialisis carencia carnitina tratada acido valproico
E,juvenil diabeticas mellitus inicio
O,trombopenia anemia
K,faringoesofagica displasia barret
L,t36
K,isquemia intestino parte reversible agudo segmentaria
T,virales vacunas
K,enfermedades no crohn
F,paradojico dormir hallazgo capacidad hipocondria
I,intradural
F,remision sostenida lesion consumo otro alucinogeno moderado remision sostenida alucinogeno
I,formas enfermedades isquemica cronico otras
E,masa neoplasma tirotoxicosis
I,trombos iliaca bilateral agudas
L,inflamacion inflamado inflamatorio izquierdo
U,19 afeccion covid
I,embolos cerebral derecha cerebro
H,angulo derecha
F,abuso marihuana
K,enteropatia celiaca
S,golpeado derecho hombros
J,a humos cronica enfermedad sistema quimicos debidas respiratorias agentes bronquiectasias toxinas inducidas productos
E,afeccion subyacente
A,flavivirus viral espinal siringomielitis
R,funcionamiento mal
R,trastorno ciclicos vomitos ciclicos
B,glandula granulosus infeccion echinococcus tiroideo
C,carcinoma celulas merkel margen anal merkel carcinoma celulas merkel piel perianal
E,mellitus retina izquierda
U,covid
R,dolor orinar
G,migrañas estatus hemiplejica
G,causalgia inferior derecha extremidad
L,irritacion esencial
Q,microfaquia
Q,bilateral especificados deformidades
O,atencion u bradicardia fetal
N,ovulacion
M,tobillo pie articulaciones derecha juvenil
L,niquel
O,plaquetas primero
Z,enolico etilico exadicto
K,dientes trastornos
E,sexto caracter efectos tabla t50 calientes morbida t50con categoriast36 s obeso
D,inducidas otras farmacos
P,daño cerebro a seccion nacimiento
A,infeccion inflamacion
Z,poliomielitis afecciones clasificadas a00b89 b99
D,derecho corneales benigna corneales
A,maculosa costera garrapata queensland australis
E,diabetes afeccion a diabetica proliferativa ambos desprendimiento mellitus regmatogeno subyacente retinopatia
R,gaseoso
V,objeto accidente colision coche trafico fijo estacionado contacto
U,covid afeccion pos 19
U,vapeo lesion relacionado
R,25 localiza edad comatoso años inconsciencia dolorosos
Q,conductos distorsion
O,inicio espontaneo trabajo parto 37 semanas completas gestacion
K,especificada causa clase a dientes perdida iii
N,neuromuscular disfuncion vesical
J,otros polipos senos
O,secundaria uterina
P,agotamiento regulacion temperatura trastornos febril especificos
G,distonia discinesia
Q,sindactilia compleja
J,neumotorax
D,abdomen benigna benignos benigna tumores ureteral neuroendocrinos excepto derecha
E,subyacente afeccion complicaciones a otras
P,estafilococos especies agente onfalitis organismos
R,masa abdominal
I,cerebrovascular
O,presentacion 3 compuesta feto materna
R,disfonia
I,cerebrales bilateral arteria cerebro arterial cerebral arteria cerebro estenosis
F,abuso psicotica enolica trastorno
Z,posteriores organo despues otro cuidados contacto trasplante
R,romadizo sifilitico
R,diaria cefalea
G,radial braquial plexo derecha
R,bence proteinuria jones
G,anterior sindrome medular
K,premolar derecho causa superior 3 perdida
J,inflamado empiema frontal nasal supradiafragmatico
K,especificad recidivada irreductible
G,temblor especificadas formas otras
A,genitourinario periuretral glandulas absceso gonococica inferior infeccion
H,inflamacion perforante izquierdo ocular inflamacion necrosante escleromalacia
Q,deformidad congenito oido
T,inhalados agresion ingesta
E,diabetico a proliferativa operculo asociado desprendimiento traccion mellitus regmatogeno
S,amputacion parcial completa codificara completa izquierdo
U,covid
R,disfuncion
G,extremidad femur nervio lesion
O,hipertensivos puerperio gestacion lipedema parto edematoso
N,mayor infancia asimetrica hipertrofia labial
S,trastorno torniquete cabello dedo manos derecha
O,atencion afecciones
P,respiratorio
K,iii denticion parcial
A,artropatia sintomatica sifilitico
